sku,regular_price,stock,stock_status,published,date_sale_starts,date_sale_ends,sale_price,ALLOCATED_STOCK,NEW_STOCK_STATUS
10007259,3.75,40,1,1,,,,40,1
10095198,23.3,4,1,1,,,,4,1
10122798,23.75,499,1,1,,,,499,1
101535463,11.5,-130,2,1,,,,-130,2
10178007,36,0,2,1,,,,0,2
101858641,66.25,-21,2,1,,,,-21,2
101982751,46,2347,1,1,,,,2347,1
101983035,7.65,3248,1,1,,,,3248,1
102012415,5.25,2016,1,1,,,,2016,1
10212653,20.6,130,1,1,,,,130,1
102248142,112,447,1,1,,,,447,1
10247128,7.45,52,1,1,,,,52,1
102654309,6.25,4209,1,1,,,,4209,1
10271630,7.65,2947,1,1,,,,2947,1
102719516,81.05,13,1,1,,,,13,1
102724895,66,164,1,1,,,,164,1
102724911,115,2449,1,1,,,,2449,1
102929668,165,60,1,1,,,,60,1
103096727,31.3,0,2,1,,,,0,2
103192064,12.25,-12,2,1,,,,-12,2
103297921,6.5,0,2,1,,,,0,2
10516981,49.5,32,1,1,,,,32,1
10623892,71.05,0,2,1,,,,0,2
10734467,5.75,1344,1,1,,,,1344,1
15003018,40.95,193,1,1,,,,193,1
2035000,33.8,4837,1,1,,,,4837,1
2061702,71.7,-2,2,1,,,,-2,2
2065090,7.25,15,1,1,,,,15,1
2068336,8.05,951,1,1,,,,951,1
2068510,7.25,289,1,1,,,,289,1
2091907,49,4,1,1,,,,4,1
2092928,38.05,3237,1,1,,,,3237,1
2095424,37,4051,1,1,,,,4051,1
2096742,90,199,1,1,,,,199,1
2099767,9.9,2138,1,1,,,,2138,1
2112640,73,4502,1,1,,,,4502,1
2978154,40,0,2,1,,,,0,2
3118603,14,-361,2,1,,,,-361,2
3752128,23,-9,2,1,,,,-9,2
3792841,17.75,1593,1,1,,,,1593,1
4226796,11.25,4871,1,1,,,,4871,1
5244904,33.75,457,1,1,,,,457,1
6393366,18,53177,1,1,,,,53177,1
8201966,44.95,456,1,1,,,,456,1
8222299,4.45,817,1,1,,,,817,1
8271129,77,3260,1,1,,,,3260,1
8404794,11,645,1,1,,,,645,1
9169121,6,71,1,1,,,,71,1
9288596,19.25,352,1,1,,,,352,1
9484986,19.5,388,1,1,,,,388,1
9530877,6.5,819,1,1,,,,819,1
9592793,11.75,239,1,1,,,,239,1
9597891,5.5,321,1,1,,,,321,1
9612589,8.75,136,1,1,,,,136,1
9628055,7.5,4072,1,1,,,,4072,1
9790873,18.4,1630,1,1,,,,1630,1
9874411,10,15,1,1,,,,15,1
9894887,64.8,442,1,1,,,,442,1
9920013,10,3851,1,1,,,,3851,1
10017901,5.8,541,1,1,,,,541,1
10044690,15,3850,1,1,,,,3850,1
10062295,36.55,74,1,1,,,,74,1
10071291,67,1078,1,1,,,,1078,1
10082124,129,211,1,1,,,,211,1
101574356,14.5,2746,1,1,,,,2746,1
101590325,75,1236,1,1,,,,1236,1
101633215,87.5,94,1,1,,,,94,1
101651594,1362,49,1,1,,,,49,1
10170210,58.5,759,1,1,,,,759,1
101858593,57.25,59,1,1,,,,59,1
101953999,21,0,2,1,,,,0,2
101967400,5.8,17040,1,1,,,,17040,1
10225530,18.5,1228,1,1,,,,1228,1
10228466,6.85,37,1,1,,,,37,1
102519867,24,1418,1,1,,,,1418,1
102541944,1257,0,2,1,,,,0,2
102577584,14.5,611,1,1,,,,611,1
102719519,112.75,46,1,1,,,,46,1
102770570,46.45,559,1,1,,,,559,1
102864279,38,775,1,1,,,,775,1
103310492,96.25,-374,2,1,,,,-374,2
103340532,14.5,0,2,1,,,,0,2
103785905,138,1,1,1,,,,1,1
10650911,36,3,1,1,,,,3,1
10690113,28.45,2146,1,1,,,,2146,1
10752794,120,727,1,1,,,,727,1
15001443,21,1122,1,1,,,,1122,1
2060958,7.85,2860,1,1,,,,2860,1
2061559,9.75,210,1,1,,,,210,1
2083223,9.5,555,1,1,,,,555,1
2086453,13.4,458,1,1,,,,458,1
2089416,34.5,218,1,1,,,,218,1
2092904,20.25,8327,1,1,,,,8327,1
2094120,6.25,105,1,1,,,,105,1
2096667,72.6,1247,1,1,,,,1247,1
2098999,44.95,557,1,1,,,,557,1
